Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","335,587","337,314","387,088","380,775","391,999","388,700","384,682","394,609","375,025","379,482","391,220","451,821","4,598,302",,
,Retail sales and food services excl motor vehicle and parts,"277,706","274,739","311,920","311,233","322,722","318,499","315,504","323,314","308,069","313,569","327,252","380,837","3,785,364",,
,Retail sales and food services excl gasoline stations,"297,569","300,645","342,739","334,922","343,754","341,186","336,482","346,289","329,582","334,367","348,244","409,066","4,064,845",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"239,688","238,070","267,571","265,380","274,477","270,985","267,304","274,994","262,626","268,454","284,276","338,082","3,251,907",,
,"Retail sales, total","298,626","299,920","345,052","339,014","348,979","346,620","341,381","352,224","333,642","337,067","351,517","408,910","4,102,952",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","240,745","237,345","269,884","269,472","279,702","276,419","272,203","280,929","266,686","271,154","287,549","337,926","3,290,014",,
,GAFO(1),"80,468","83,815","92,506","91,906","93,667","92,488","92,485","97,416","90,746","92,528","106,010","141,631","1,155,666",,
441,Motor vehicle and parts dealers,"57,881","62,575","75,168","69,542","69,277","70,201","69,178","71,295","66,956","65,913","63,968","70,984","812,938",,
"4411,4412",Automobile and other motor vehicle dealers,"52,158","56,531","67,947","62,778","62,333","62,666","62,092","63,556","59,708","58,769","57,102","64,334","729,974",,
4411,Automobile dealers,"49,715","53,613","63,613","58,223","57,538","57,741","57,556","59,357","56,243","55,583","54,192","61,131","684,505",,
44111,New car dealers,"43,739","46,318","55,952","51,777","51,278","51,281","51,208","52,919","50,292","49,873","48,662","55,489","608,788",,
44112,Used car dealers,"5,976","7,295","7,661","6,446","6,260","6,460","6,348","6,438","5,951","5,710","5,530","5,642","75,717",,
4413,"Automotive parts, acc., and tire stores","5,723","6,044","7,221","6,764","6,944","7,535","7,086","7,739","7,248","7,144","6,866","6,650","82,964",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,829","14,276","15,727","14,231","14,711","14,913","15,276","16,145","15,221","14,865","18,124","22,246","189,564",,
442,Furniture and home furnishings stores,"6,244","6,488","7,530","6,896","7,086","7,039","7,241","7,685","7,450","6,967","7,931","9,029","87,586",,
4421,Furniture stores,"3,576","3,871","4,304","3,902","3,861","3,792","4,002","4,132","4,051","3,741","4,126","4,300","47,658",,
4422,Home furnishings stores,"2,668","2,617","3,226","2,994","3,225","3,247","3,239","3,553","3,399","3,226","3,805","4,729","39,928",,
44221,Floor covering stores,947,959,"1,211","1,127","1,261","1,295","1,271","1,472","1,395","1,302","1,263","1,255","14,758",,
442299,All other home furnishings stores,"1,629","1,564","1,907","1,783","1,874","1,869","1,886","1,989","1,907","1,828","2,451","3,393","24,080",,
443,Electronics and appliance stores,"7,585","7,788","8,197","7,335","7,625","7,874","8,035","8,460","7,771","7,898","10,193","13,217","101,978",,
443141,Household appliance stores,"1,077","1,141","1,215","1,181","1,274","1,314","1,334","1,360","1,383","1,277","1,612","1,639","15,807",,
443142,Electronics stores,"6,508","6,647","6,982","6,154","6,351","6,560","6,701","7,100","6,388","6,621","8,581","11,578","86,171",,
444,Building mat. and garden equip. and supplies dealers,"16,004","16,002","21,963","24,378","27,713","27,011","23,528","23,730","22,499","23,077","22,372","21,203","269,480",,
