Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2018,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","444,286","435,373","508,383","480,373","527,991","507,106","505,209","520,544","477,137","503,602","518,457","556,614","5,985,075",
,Retail sales and food services excl motor vehicle and parts,"356,043","345,645","398,623","380,907","418,752","402,227","401,379","412,163","381,171","404,569","423,227","455,566","4,780,272",
,Retail sales and food services excl gasoline stations,"405,332","398,494","466,197","437,800","480,549","460,356","458,120","472,671","432,695","456,531","476,440","518,437","5,463,622",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"317,089","308,766","356,437","338,334","371,310","355,477","354,290","364,290","336,729","357,498","381,210","417,389","4,258,819",
,"Retail sales, total","389,808","380,671","444,994","420,245","464,050","443,577","441,767","456,030","417,172","441,878","459,319","493,526","5,253,037",
,"Retail sales, total (excl. motor vehicle and parts dealers)","301,565","290,943","335,234","320,779","354,811","338,698","337,937","347,649","321,206","342,845","364,089","392,478","4,048,234",
,GAFO(1),"90,650","92,611","108,401","98,990","110,609","106,035","105,372","111,811","100,372","105,419","121,812","146,442","1,298,524",
441,Motor vehicle and parts dealers,"88,243","89,728","109,760","99,466","109,239","104,879","103,830","108,381","95,966","99,033","95,230","101,048","1,204,803",
"4411,4412",Automobile and other motor vehicle dealers,"81,003","82,701","101,441","91,695","100,854","96,675","95,619","99,859","88,197","90,587","87,350","93,824","1,109,805",
4411,Automobile dealers,"76,900","77,775","94,586","84,366","92,690","88,505","88,463","92,692","82,407","85,177","82,531","89,379","1,035,471",
44111,New car dealers,"67,879","67,635","83,075","74,595","82,342","78,485","78,428","82,340","73,197","75,794","73,608","80,750","918,128",
44112,Used car dealers,"9,021","10,140","11,511","9,771","10,348","10,020","10,035","10,352","9,210","9,383","8,923","8,629","117,343",
4413,"Automotive parts, acc., and tire stores","7,240","7,027","8,319","7,771","8,385","8,204","8,211","8,522","7,769","8,446","7,880","7,224","94,998",
"442,443","Furniture, home furn, electronics, and appliance stores","16,168","15,673","17,766","16,200","17,511","17,425","17,294","18,260","17,039","17,301","20,335","22,124","213,096",
442,Furniture and home furnishings stores,"8,878","8,701","10,185","9,365","10,114","9,921","9,916","10,399","9,759","9,966","10,770","11,120","119,094",
4421,Furniture stores,"4,719","4,798","5,669","5,011","5,377","5,409","5,287","5,534","5,382","5,175","5,491","5,427","63,279",
4422,Home furnishings stores,"4,159","3,903","4,516","4,354","4,737","4,512","4,629","4,865","4,377","4,791","5,279","5,693","55,815",
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,299","2,057","2,351","2,183","2,395","2,209","2,354","2,531","2,263","2,449","3,150","3,808","30,049",
443,Electronics and appliance stores,"7,290","6,972","7,581","6,835","7,397","7,504","7,378","7,861","7,280","7,335","9,565","11,004","94,002",
443141,Household appliance stores,"1,227","1,221","1,415","1,315","1,498","1,479","1,460","1,514","1,340","1,406","1,522","1,393","16,790",
443142,Electronics stores,"6,063","5,751","6,166","5,520","5,899","6,025","5,918","6,347","5,940","5,929","8,043","9,611","77,212",
444,Building mat. and garden equip. and supplies dealers,"23,535","23,507","29,753","32,034","37,940","34,966","33,133","32,075","29,354","32,490","29,908","27,530","366,225",
4441,Building mat. and supplies dealers,"21,084","20,764","25,690","27,423","32,365","30,594","29,673","28,644","26,048","28,547","26,446","23,986","321,264",
44412,Paint and wallpaper stores,803,821,994,"1,016","1,152","1,174","1,150","1,197","1,042","1,143",936,817,"12,245",
44413,Hardware stores,"1,933","1,826","2,317","2,362","2,726","2,509","2,350","2,364","2,172","2,385","2,263","2,260","27,467",
445,Food and beverage stores,"60,393","56,483","63,791","59,571","64,527","62,765","63,399","63,628","61,186","62,554","63,656","68,047","750,000",
4451,Grocery stores,"54,910","50,967","57,356","53,647","57,855","56,107","56,720","57,015","54,910","56,019","56,647","59,177","671,330",
44511,Supermarkets and other grocery (except convenience) stores,"52,638","48,708","54,758","50,995","55,109","53,351","53,962","54,230","52,296","53,358","54,139","56,691","640,235",
4453,"Beer, wine, and liquor stores","3,792","3,792","4,436","4,143","4,702","4,740","4,761","4,697","4,416","4,555","4,926","6,128","55,088",
446,Health and personal care stores,"27,699","25,667","28,477","27,155","28,960","27,655","27,467","28,904","26,846","29,355","28,786","30,794","337,765",
44611,Pharmacies and drug stores,"23,606","21,410","23,426","22,611","24,157","22,659","22,881","23,994","22,167","24,713","23,708","24,750","280,082",
447,Gasoline stations,"38,954","36,879","42,186","42,573","47,442","46,750","47,089","47,873","44,442","47,071","42,017","38,177","521,453",
448,Clothing and clothing access. stores,"15,780","18,424","22,207","20,463","23,560","21,294","21,733","23,121","19,782","21,203","25,364","33,950","266,881",
4481,Clothing stores,"11,643","12,926","16,382","14,945","17,132","15,676","15,944","16,608","14,709","15,833","19,074","23,481","194,353",
44811,Men's clothing stores,594,626,774,830,867,780,676,721,738,765,839,"1,012","9,222",
44812,Women's clothing stores,"2,314","2,635","3,429","3,325","3,692","3,194","3,109","3,270","3,071","3,406","4,010","4,392","39,847",
44814,Family clothing stores,"6,322","7,061","9,081","8,070","9,546","8,767","9,142","9,501","8,244","8,989","10,851","13,626","109,200",
44819,Other clothing stores,"1,220","1,251","1,471","1,268","1,436","1,558","1,606","1,610","1,315","1,297","1,680","2,190","17,902",
4482,Shoe stores,"2,076","2,696","3,275","2,920","3,158","2,893","3,255","3,898","2,736","2,841","3,288","4,217","37,253",
44831,Jewelry stores,"1,849","2,569","2,293","2,348","2,973","2,469","2,286","2,371","2,110","2,300","2,726","5,789","32,083",
451,"Sporting goods, hobby, musical instrument, and book stores","5,964","5,673","7,049","6,329","6,788","6,822","6,366","7,361","6,100","6,039","7,290","9,348","81,129",
45111,Sporting goods stores,"2,816","3,076","3,853","3,597","3,859","4,151","3,928","4,145","3,198","3,266","3,760","5,106","44,755",
45112,"Hobby, toy, and game stores","1,187","1,230","1,720","1,358","1,438","1,259","1,046","1,100","1,182","1,282","1,986","2,101","16,889",
451211,Book stores,"1,219",646,665,638,707,647,620,"1,247",886,654,680,"1,149","9,758",
452,General merchandise stores,"50,594","50,770","59,068","53,805","60,281","58,091","57,383","60,099","54,945","57,771","66,319","77,968","707,094",
4521,Department stores,"9,120","9,663","11,481","10,567","12,014","11,166","10,979","12,083","10,371","10,995","14,562","19,082","142,083",
452111,Department stores(excl. discount department stores),"2,638","3,041","3,643","3,551","3,860","3,421","3,273","3,423","3,191","3,324","4,850","6,356","44,571",
452112,Discount dept. stores,"6,482","6,622","7,838","7,016","8,154","7,745","7,706","8,660","7,180","7,671","9,712","12,726","97,512",
4529,Other general merchandise stores,"41,474",41107,47587,"43,238","48,267","46,925","46,404","48,016","44,574","46,776","51,757","58,886","565,011",
45291,Warehouse clubs and superstores,"35,948","35,461","41,098","37,228","41,417","40,547","40,132","41,593","38,362","40,187","44,281","50,429","486,683",
45299,All other gen. merchandise stores,"5,526","5,646","6,489","6,010","6,850","6,378","6,272","6,423","6,212","6,589","7,476","8,457","78,328",
453,Miscellaneous store retailers,"9,472","9,235","10,348","10,121","12,184","11,197","10,531","11,168","10,198","11,441","11,058","11,455","128,408",
4532,"Office supplies, stationery, and gift stores","2,144","2,071","2,311","2,193","2,469","2,403","2,596","2,970","2,506","3,105","2,504","3,052","30,324",
45321,Office supplies and stationery stores,"1,067",887,950,859,864,801,923,"1,355",944,864,872,977,"11,363",
45322,"Gift, novelty, and souvenir stores","1,077","1,184","1,361","1,334","1,605","1,602","1,673","1,615","1,562","2,241","1,632","2,075","18,961",
45330,Used merchandise stores,"1,313","1,366","1,544","1,437","1,495","1,415","1,336","1,491","1,376","1,565","1,438","1,399","17,175",
454,Nonstore retailers,"53,006","48,632","54,589","52,528","55,618","51,733","53,542","55,160","51,314","57,620","69,356","73,085","676,183",
4541,Electronic shopping and mail-order houses,"43,140","40,701","46,222","45,015","48,188","45,294","47,154","48,469","44,922","49,855","61,028","64,279","584,267",
45431,Fuel dealers,"5,831","3,807","3,582","2,818","2,211","1,813","1,886","2,043","2,050","2,962","3,487","4,040","36,530",
722,Food services and drinking places,"54,478","54,702","63,389","60,128","63,941","63,529","63,442","64,514","59,965","61,724","59,138","63,088","732,038",
7224,Drinking places,"2,033","2,009",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"47,791","47,531","55,287","52,178","55,905","56,132","56,429","56,674","51,577","53,058","51,176","55,411","639,149",
722511,Full service restaurants,"24,145","24,068","27,766","25,987","27,820","27,818","27,696","27,881","25,229","25,858","25,062","28,544","317,874",
